state,district,fy_2023_obligations,fy_2024_obligations,fy_2025_obligations
MO,MO-01,22537554.18,26513948.88,36660190.54
MO,MO-02,35000.0,274781.26,54048.36
MO,MO-03,1853215.0,738406.69,3788603.0
MO,MO-04,396472.0,1454639.0,428681.0
MO,MO-05,59095.8,0.0,12570.82
MO,MO-06,0.0,0.0,0.0
MO,MO-07,292947.0,0.0,355031.86
MO,MO-08,2184998.65,1363361.79,947698.17
MP,MP-00,0.0,0.0,0.0
MS,MS-01,1666680.58,3749516.18,3564979.0
MS,MS-02,573712.61,393516.0,246382.0
MS,MS-03,13243319.64,18857752.03,39312934.37
MS,MS-04,222197978.13,214079036.41,173996846.98
MT,MT-01,13055140.16,15911281.209999999,20497136.98
MT,MT-02,-31032.51,40000.0,0.0
NC,NC-01,212091.09,176353.0,59219.61
NC,NC-02,2015140.89,3611782.13,3334424.74
NC,NC-03,363004.78,287313.75,321298.44
NC,NC-04,8506587.08,10471775.09,16074105.38
NC,NC-05,6062.03,0.0,63767.0
NC,NC-06,3343808.45,826166.0,695253.66
NC,NC-07,823338.58,835854.7,1088410.54
NC,NC-08,18750.0,14713.0,0.0
NC,NC-09,145010.51,-75.0,0.0
NC,NC-10,1460894.0,1624352.18,1840553.89
NC,NC-11,360762.0,1331250.0,311992.0
NC,NC-12,1017813.95,706785.17,621634.81
NC,NC-13,929851.15,-5865.32,164686.0
NC,NC-14,662741.0,1627669.23,225000.0
ND,ND-00,3736879.78,3386690.04,3400491.44
NE,NE-01,4340699.45,1732295.02,1853957.93
NE,NE-02,1792846.0,1849354.09,1004547.69
NE,NE-03,897000.0,4984782.24,13035844.9
NH,NH-01,71237759.1,23198878.84,40243913.52
NH,NH-02,17236740.21,11629464.25,32705347.59
NJ,NJ-01,63891.0,231258.3,473210.16
NJ,NJ-02,0.0,0.0,0.0
NJ,NJ-03,-1099560.0,244027.32,2919505.93
NJ,NJ-04,30445.0,38179.99,0.0
NJ,NJ-05,32536.39,612975.33,381571.67
NJ,NJ-06,315379.9,1020607.0,223220.0
NJ,NJ-07,11457547.05,10394977.21,7736863.3
NJ,NJ-08,1167950.85,1722790.38,1625359.97
NJ,NJ-09,971772.71,851369.44,509948.74
NJ,NJ-10,3255552.63,4267269.15,5027752.12
NJ,NJ-11,1234767.11,943713.0,654549.6
NJ,NJ-12,20741489.35,25663480.04,13689374.91
NM,NM-01,5600597.89,7345445.2,33777809.79
NM,NM-02,9227490.39,9381885.72,24838136.25
NM,NM-03,2676218.69,2699032.08,1942053.89
NV,NV-01,18144522.009999998,27010302.180000003,37815537.32
NV,NV-02,48194301.58,106351737.09,5181159.47
NV,NV-03,7654930.97,121340.14,86676.4
NV,NV-04,-1018695.5,0.0,0.0
NY,NY-01,3131999.17,2718162.94,1900965.95
NY,NY-02,391336.16,245765.25,171120.63
NY,NY-03,109245.36,176198.24,76314.5
