state,district,fy_2023_obligations,fy_2024_obligations,fy_2025_obligations
MD,MD-03,81924865.09,104679300.99,118643121.93
MD,MD-04,19175847.80,13378994.53,15852830.37
MD,MD-05,6872547.34,624348.09,314246.58
MD,MD-06,0.00,144806.86,0.00
MD,MD-07,-8251.70,600000.00,999878.15
MD,MD-08,5247102.83,1610074.97,1900905.25
ME,ME-01,0.00,10000.00,-2638.25
MI,MI-01,0.00,33130.00,0.00
MI,MI-02,0.00,30686.38,0.00
MI,MI-04,500.00,0.00,3000.00
MI,MI-05,0.00,54671.00,0.00
MI,MI-06,106998.40,36623.00,40748.00
MI,MI-07,0.00,0.00,999329.52
MI,MI-10,0.00,-4670.50,114292.72
MI,MI-11,500523.59,911440.25,359276.00
MI,MI-12,4000.00,26856.00,0.00
MI,MI-13,16083.23,0.00,3896.33
MN,MN-01,-13283.00,0.00,13826.17
MN,MN-02,0.00,0.00,135645.00
MN,MN-03,733050.50,308007.57,614520.91
MN,MN-04,106530.00,0.00,0.00
MN,MN-05,19562.74,34020.23,0.00
MN,MN-08,12542.16,25975.28,0.00
MO,MO-01,495000.00,600000.00,0.00
MO,MO-02,0.00,1250.00,0.00
MO,MO-05,23509.80,0.00,0.00
MP,MP-00,0.00,0.00,0.00
MS,MS-01,0.00,83960.00,85650.00
MS,MS-03,0.00,2518187.76,14178374.79
MS,MS-04,95573034.59,78237928.14,52294203.61
MT,MT-01,3316720.45,5785936.10,4935013.64
NC,NC-02,-1812.14,0.00,0.00
NC,NC-04,38500.00,48106.75,55737.00
NC,NC-06,-2250.00,0.00,-10.02
NC,NC-07,0.00,0.00,21612.80
NC,NC-10,19800.00,19800.00,0.00
NC,NC-12,14389.00,0.00,-18599.40
ND,ND-00,0.00,0.00,-7.30
NE,NE-01,13008.60,29576.00,158769.20
NH,NH-01,7015.25,4552.54,35992.22
NH,NH-02,125042.66,83391.93,436381.47
NJ,NJ-03,0.00,0.00,160250.00
NJ,NJ-04,0.00,0.00,0.00
NJ,NJ-06,0.00,0.00,50000.00
NJ,NJ-07,2387375.95,2258648.53,1039907.24
NJ,NJ-09,0.00,0.00,49363.50
NJ,NJ-10,0.00,68999.00,99754.74
NJ,NJ-11,84436.00,294033.76,254771.26
NJ,NJ-12,410951.39,617364.05,703981.76
NM,NM-01,78000.00,591500.00,649740.74
NM,NM-02,175117.59,322224.10,10989647.80
NM,NM-03,70000.00,768760.61,800328.96
NV,NV-01,1863705.52,2259945.04,2382390.40
NV,NV-02,-120377.00,0.00,75320.00
NV,NV-03,1863705.52,67524.91,71576.40
NV,NV-04,-1000058.00,0.00,0.00
NY,NY-01,525341.75,474526.00,62750.00
NY,NY-02,0.00,3284.16,59565.95
NY,NY-03,0.00,0.00,0.00
NY,NY-07,21621.00,114094.00,53755.47
NY,NY-10,23319.32,16460.00,16504.08
NY,NY-12,224579.78,69240.00,184250.00
NY,NY-13,0.00,0.00,-465.84
NY,NY-17,18498.00,-47693.46,0.00
NY,NY-18,0.00,43050.00,960.00
NY,NY-19,39096.25,111020.81,142218.00
NY,NY-20,39351.84,0.00,5580.94
NY,NY-21,149085.09,25841.91,46442.00
NY,NY-22,260792.75,58377.00,4949339.52
NY,NY-23,130251.00,64776.24,18360.00
NY,NY-25,0.00,0.00,0.00
NY,NY-26,132086.80,1306210.60,14397.20
OH,OH-01,260975.85,634169.58,674373.31
OH,OH-03,435000.00,60000.00,120105.00
OH,OH-04,17480863.54,10018.40,-1063.30
OH,OH-05,0.00,0.00,72500.00
OH,OH-07,4543099.08,3031301.27,1694182.91
OH,OH-08,538086.92,117831.80,370674.75
OH,OH-09,17553567.41,19592956.51,20043500.58
OH,OH-10,112220.00,86473.00,105646.61
OH,OH-11,1560487.66,3124694.63,6844917.53
OH,OH-12,22719.00,0.00,0.00
OH,OH-13,10676.78,14376.31,7560.00
OH,OH-14,0.00,43245.26,0.00
OH,OH-15,33620.00,58370.00,69150.24
OK,OK-01,137809.00,0.00,-1537.50
OK,OK-03,0.00,0.00,424998.00
OK,OK-05,0.00,29088.00,0.00
OR,OR-01,761401.36,387335.58,109505.79
OR,OR-02,0.00,0.00,180.41
OR,OR-03,0.00,0.00,16129.00
OR,OR-04,0.00,0.00,63400.00
OR,OR-05,0.00,132697.00,84839.00
PA,PA-01,0.00,58575.00,130055.30
PA,PA-02,0.00,0.00,0.00
PA,PA-03,0.00,0.00,100000.00
PA,PA-04,408145.57,86035.75,51642.00
PA,PA-05,23145.00,10560.00,0.00
PA,PA-06,0.00,92450.37,5318838.32
PA,PA-07,2212800.17,2686345.00,1531107.12
PA,PA-10,0.00,0.00,70590.00
PA,PA-11,0.00,6172819.97,1431112.00
PA,PA-12,71208.60,18186.00,737718.71
PA,PA-13,0.00,76500.00,0.00
PA,PA-14,900323.92,1759961.10,2354247.91
PA,PA-15,46750.00,74172.50,35696.44
PA,PA-16,0.00,49060.00,0.00
PA,PA-17,99817.00,0.00,0.00
PR,PR-00,0.00,0.00,0.00
RI,RI-01,500000.00,600000.00,1500000.00
