state,district,fy_2023_obligations,fy_2024_obligations,fy_2025_obligations
MI,MI-09,0.00,0.00,0.00
MI,MI-10,0.00,0.00,0.00
MI,MI-11,278579.18,111606.66,323518.78
MI,MI-12,3043100.00,0.00,32972.26
MI,MI-13,795143.08,781173.00,1029269.84
MN,MN-01,99172.00,0.00,0.00
MN,MN-02,0.00,0.00,0.00
MN,MN-03,368124.10,324978.64,632718.60
MN,MN-04,405522.00,0.00,240000.00
MN,MN-05,2143134.00,6012227.57,9011323.17
MN,MN-06,19225.33,827.64,0.00
MN,MN-07,0.00,4679.60,-4679.60
MN,MN-08,71179.00,73691.00,69999.00
MO,MO-01,9173235.36,11849204.69,10645949.83
MO,MO-02,0.00,0.00,0.00
MO,MO-03,1268897.00,154479.69,3072129.00
MO,MO-04,0.00,0.00,0.00
MO,MO-05,0.00,0.00,12570.82
MO,MO-06,0.00,0.00,0.00
MO,MO-07,246000.00,0.00,77813.55
MO,MO-08,84921.40,190520.00,0.00
MP,MP-00,0.00,0.00,0.00
MS,MS-01,261939.00,131179.00,979330.00
MS,MS-02,0.00,304741.00,96559.00
MS,MS-03,4547382.74,2983436.07,1236321.03
MS,MS-04,1116898.44,1623040.12,1501283.43
MT,MT-01,5867821.44,4893700.78,3551349.47
MT,MT-02,0.00,0.00,0.00
NC,NC-01,35738.00,0.00,0.00
NC,NC-02,841069.28,1283008.71,205348.56
NC,NC-03,350645.00,274751.86,330869.00
NC,NC-04,2085971.46,4750104.89,10879339.27
NC,NC-05,0.00,0.00,63767.00
NC,NC-06,-8398.56,158433.00,121191.73
NC,NC-07,251087.18,307577.00,204581.74
NC,NC-08,0.00,0.00,0.00
NC,NC-09,0.00,0.00,0.00
NC,NC-10,191390.00,187658.00,103643.15
NC,NC-11,360762.00,331385.00,311992.00
NC,NC-12,300000.00,199493.69,0.00
NC,NC-13,0.00,0.00,0.00
NC,NC-14,15500.00,1600500.00,-1276.00
ND,ND-00,453885.00,346983.00,452129.01
NE,NE-01,97249.00,778979.30,615939.53
NE,NE-02,369145.00,358292.00,16625.00
NE,NE-03,0.00,0.00,0.00
NH,NH-01,65382214.13,13311344.31,27573786.85
NH,NH-02,6674726.75,3948409.54,7820439.63
NJ,NJ-01,18726.00,218493.30,163489.21
NJ,NJ-02,0.00,0.00,0.00
NJ,NJ-03,60322.67,10517.00,139900.00
NJ,NJ-04,30445.00,-137.12,0.00
NJ,NJ-05,242570.39,24291.33,42311.13
NJ,NJ-06,279540.99,295225.61,0.00
NJ,NJ-07,1675105.18,2416844.62,-222712.83
NJ,NJ-08,932115.09,455608.84,1146921.22
NJ,NJ-09,133740.25,176596.00,0.00
NJ,NJ-10,2333509.94,2252625.00,3914600.50
NJ,NJ-11,55024.35,282053.00,107148.54
NJ,NJ-12,13733936.75,18972939.97,6625628.07
NM,NM-01,1306257.45,2256851.54,1297002.44
NM,NM-02,2187845.10,4144730.84,4401241.69
NM,NM-03,607732.00,1186904.72,786127.99
NV,NV-01,1445387.93,172241.45,1984125.85
NV,NV-02,1864049.00,1643779.58,2537052.74
NV,NV-03,-251753.55,65979.25,15100.00
NV,NV-04,0.00,0.00,0.00
NY,NY-01,2439893.63,2163134.40,1852609.61
NY,NY-02,152667.00,0.00,0.00
NY,NY-03,24251.00,1570.00,0.00
NY,NY-04,0.00,0.00,31825.00
NY,NY-05,0.00,-15.59,0.00
NY,NY-06,55988.00,150000.00,219986.00
NY,NY-07,903488.00,23176.68,1671.62
NY,NY-08,420520.99,910416.00,293204.24
NY,NY-09,247415.00,0.00,0.00
NY,NY-10,1483743.30,1220143.25,1390041.17
NY,NY-11,0.00,35655.88,0.00
NY,NY-12,2739768.85,4336295.26,4823831.86
NY,NY-13,22861506.42,29808267.43,22452067.76
NY,NY-14,0.00,0.00,0.00
NY,NY-15,719097.00,284863.00,311724.00
NY,NY-16,12391.30,158249.69,15000.00
NY,NY-17,2733033.39,0.00,50670.00
NY,NY-18,74725.00,179558.44,77339.36
NY,NY-19,4712435.61,5615751.13,7614941.00
NY,NY-20,4325336.54,2863490.46,1437681.16
NY,NY-21,276930.00,546656.00,0.00
NY,NY-22,467247.37,274954.03,1511073.25
NY,NY-23,0.00,0.00,0.00
