state,district,fy_2023_obligations,fy_2024_obligations,fy_2025_obligations
SC,SC-06,1554081.87,1325071.25,1059380.76
SD,SD-00,1944079.76,1960000.0,1000000.0
TN,TN-05,879172.0,930882.88,884189.0
TN,TN-07,0.0,320000.0,242957.0
TN,TN-09,0.0,112.74,50000.0
TX,TX-06,0.0,0.0,0.0
TX,TX-10,1425000.0,500000.0,500000.0
TX,TX-12,0.0,0.0,247782.68
TX,TX-13,618471.0,548214.0,539959.0
TX,TX-15,1700931.56,558508.37,981776.0
TX,TX-16,220706.0,157571.17,250000.0
TX,TX-17,0.0,0.0,399880.0
TX,TX-18,14786.39,1068787.17,1468187.54
TX,TX-19,0.0,0.0,0.0
TX,TX-20,999232.04,-4852.67,399547.0
TX,TX-21,0.0,799558.0,0.0
TX,TX-25,1669700.0,1560000.0,1341386.1
TX,TX-29,0.0,0.0,0.0
TX,TX-30,39871.84,0.0,0.0
TX,TX-34,400000.0,-1137.08,249995.0
TX,TX-35,0.0,0.0,-6278.54
TX,TX-36,4415.0,8200.67,97240.0
UT,UT-01,1044061.23,983920.0,800000.0
VA,VA-02,0.0,0.0,0.0
VA,VA-03,1679335.02,1314106.0,1296010.0
VA,VA-04,0.0,0.0,95455.52
VA,VA-05,18139.55,2493.75,2585.1
VA,VA-06,0.0,35000.0,48923.0
VA,VA-07,0.0,0.0,0.0
VA,VA-08,591512.0,1318461.6,1332442.15
VA,VA-09,0.0,0.0,250000.0
VA,VA-11,4837895.15,3535893.4,3244588.73
VT,VT-00,1857880.14,1098176.39,1249394.83
WA,WA-02,179999.0,0.0,0.0
WA,WA-07,871312.16,910000.0,799999.99
WA,WA-08,841760.0,0.0,427617.0
WI,WI-01,1358120.0,1509994.0,1550000.0
WI,WI-04,249205.0,248871.0,0.0
WV,WV-01,0.0,60000.0,0.0
WV,WV-02,2042090.47,2159679.41,1702242.09
WY,WY-00,2059371.82,1209959.83,1750000.0
